amount,unit,recipe_id,ingredient_id
2,packages,7000,0
0.75,cup,7000,1
0.5,cup,7000,2
1,teaspoon,7000,3
2,NULL,7000,4
0.5,cup,7000,5
4,cups,7000,6
0.25,cup,7000,5
3,cups,7001,6
1.5,teaspoons,7001,3
1.5,teaspoons,7001,7
3,tablespoons,7001,8
1.5,teaspoons,7001,9
1.333333333,cups,7001,10
3,NULL,7001,4
1.5,cups,7001,11
2.25,cups,7001,2
1.5,teaspoons,7001,12
1.5,teaspoons,7001,13
0.25,cup,7001,14
0.5,teaspoon,7001,9
0.5,teaspoon,7001,13
1,teaspoon,7001,12
2,NULL,7001,15
3,cups,7003,6
3,NULL,7003,4
2,cups,7003,2
1,cup,7003,10
2,cups,7003,16
1,cup,7003,17
1,teaspoon,7003,18
1,teaspoon,7003,19
0.25,teaspoon,7003,7
0.5,cup,7003,20
1.5,cups,7006,6
2,teaspoons,7006,7
0.25,teaspoon,7006,19
1,teaspoon,7006,3
1.25,teaspoons,7006,18
0.25,teaspoon,7006,21
0.666666667,cup,7006,22
1,cup,7006,23
1.5,cups,7006,24
0.25,cup,7006,25
0.25,cup,7006,17
2,NULL,7006,4
0.25,cup,7006,11
0.25,cup,7006,10
1,cup,7007,23
1,cup,7007,26
0.5,cup,7007,10
1,NULL,7007,27
0.5,cup,7007,22
1,cup,7007,6
1,teaspoon,7007,7
0.5,teaspoon,7007,19
0.5,teaspoon,7007,3
1,cup,7008,28
0.5,cup,7008,2
1.5,teaspoons,7008,3
2.5,cups,7008,29
4,NULL,7008,30
0.5,teaspoon,7008,31
1.5,tablespoons,7008,0
5,cups,7008,6
0.5,cup,7008,32
0.333333333,cup,7009,28
1,cup,7009,33
1,cup,7009,22
3,packages,7009,0
4,cups,7009,1
4,tablespoons,7009,2
4,teaspoons,7009,3
6,cups,7009,34
6,cups,7009,35
0.75,cup,7012,1
1,cup,7012,36
2,tablespoons,7012,10
1,NULL,7012,27
3,cups,7012,6
2,tablespoons,7012,2
0.25,teaspoon,7012,19
1,teaspoon,7012,3
1.75,teaspoons,7012,0
1,cup,7013,37
1.25,cups,7013,2
1,NULL,7013,27
3,NULL,7013,38
1,tablespoon,7013,39
1,tablespoon,7013,40
1,teaspoon,7013,12
2.25,cups,7013,6
0.25,teaspoon,7013,3
1,teaspoon,7013,7
1,teaspoon,7013,19
1,cup,7013,41
1,cup,7014,42
1,cup,7014,11
3,NULL,7014,4
0.5,cup,7014,43
0.5,cup,7014,44
1,teaspoon,7014,45
0.5,teaspoon,7014,3
0.5,teaspoon,7014,19
0.5,teaspoon,7014,2
1,can,7014,46
1,jar,7014,47
0.5,cup,7014,10
2,teaspoons,7014,48
1.5,cups,7015,6
0.25,cup,7015,2
2,teaspoons,7015,7
0.5,teaspoon,7015,3
0.25,cup,7015,28
0.25,cup,7015,23
1,NULL,7015,27
0.5,cup,7015,11
0.5,cup,7015,49
6,thick slices,7016,50
2,NULL,7016,4
0.666666667,cup,7016,11
0.25,teaspoon,7016,18
0.25,teaspoon,7016,21
1,teaspoon,7016,12
0,NULL,7016,51
1,package,7018,0
0.25,cup,7018,1
2,cups,7018,26
5,cups,7018,6
1,tablespoon,7018,7
1,teaspoon,7018,19
2,teaspoons,7018,3
3,tablespoons,7018,2
0.75,cup,7018,28
0.5,cup,7019,16
0.25,cup,7019,37
0.5,cup,7019,2
0.5,cup,7019,52
1,NULL,7019,27
0.5,teaspoon,7019,12
1,cup,7019,6
0.25,cup,7019,53
0.5,teaspoon,7019,19
0.25,teaspoon,7019,18
1,cup,7019,54
2,NULL,7019,15
2,cups,7020,55
2,tablespoons,7020,10
4,tablespoons,7020,56
3.25,cups,7020,34
1.333333333,cups,7020,57
0.5,cup,7020,42
1.333333333,teaspoons,7020,3
2.666666667,teaspoons,7020,0
4,tablespoons,7020,53
2.666666667,tablespoons,7020,58
0.666666667,cup,7021,1
1,teaspoon,7021,0
1,teaspoon,7021,2
2,cups,7021,6
1,teaspoon,7021,3
0.25,cup,7021,59
2,tablespoons,7021,60
2,teaspoons,7021,61
1,cup,7022,26
6,tablespoons,7022,62
0.25,cup,7022,2
0.5,teaspoon,7022,19
0.125,teaspoon,7022,63
3.5,cups,7022,6
0.666666667,cup,7024,28
2.666666667,cups,7024,2
4,NULL,7024,4
2,cups,7024,64
0.666666667,cup,7024,40
3.333333333,cups,7024,6
0.5,teaspoon,7024,7
2,teaspoons,7024,19
1.5,teaspoons,7024,3
1,teaspoon,7024,18
1,teaspoon,7024,65
0.666666667,cup,7024,66
1.25,cups,7025,40
2,tablespoons,7025,37
1,teaspoon,7025,3
3,cups,7025,6
0.5,cup,7025,23
2,tablespoons,7025,58
1.5,teaspoons,7025,0
1,cup,7026,34
1.25,cups,7026,35
0.25,cup,7026,23
0.125,cup,7026,67
2,tablespoons,7026,68
0.875,cup,7026,11
0.5,cup,7026,40
1,teaspoon,7026,3
1,tablespoon,7026,5
0.25,package,7026,0
3.5,cups,7030,6
0.5,cup,7030,69
1,teaspoon,7030,3
1,teaspoon,7030,7
1,teaspoon,7030,19
1,container,7030,70
0.75,cup,7030,71
2,tablespoons,7030,68
1,tablespoon,7030,2
0.25,cup,7030,5
2,tablespoons,7030,5
3,teaspoons,7033,19
0.5,teaspoon,7033,3
2,teaspoons,7033,18
1,teaspoon,7033,21
3,cups,7033,6
3,NULL,7033,72
1,can,7033,73
1.5,cups,7033,10
2,cups,7033,2
6,NULL,7033,4
1,cup,7033,25
1.5,cups,7033,17
1.5,cups,7034,40
2,tablespoons,7034,74
2.5,cups,7034,34
1,cup,7034,57
1,teaspoon,7034,3
2,tablespoons,7034,37
2,tablespoons,7034,75
1,tablespoon,7034,58
3,tablespoons,7034,53
1,teaspoon,7034,39
1,tablespoon,7034,76
0.25,teaspoon,7034,77
2,teaspoons,7034,0
3,cups,7035,6
2,teaspoons,7035,7
1,teaspoon,7035,19
0.5,teaspoon,7035,3
1,cup,7035,2
0.5,cup,7035,10
2,NULL,7035,4
1,cup,7035,78
0.75,cup,7035,25
0.5,teaspoon,7035,12
5,cups,7037,6
0.25,cup,7037,2
3,teaspoons,7037,7
1,teaspoon,7037,19
1.5,teaspoons,7037,3
1,cup,7037,28
1,package,7037,0
0.25,cup,7037,1
2,cups,7037,26
2,tablespoons,7037,5
0.75,cup,7038,1
0.25,cup,7038,5
2,NULL,7038,4
1.5,teaspoons,7038,12
3.25,cups,7038,34
2,tablespoons,7038,2
2,tablespoons,7038,79
1.5,teaspoons,7038,3
2,teaspoons,7038,80
0.5,cup,7038,81
2,cups,7040,6
1,tablespoon,7040,7
1,teaspoon,7040,3
1,tablespoon,7040,2
0.333333333,cup,7040,28
1,cup,7040,11
0.75,cup,7043,11
2,NULL,7043,4
3,tablespoons,7043,37
3,cups,7043,34
0.25,cup,7043,2
1.5,teaspoons,7043,3
1.5,teaspoons,7043,0
1,package,7046,0
1,cup,7046,69
3,cups,7046,34
1,teaspoon,7046,3
0.5,cup,7046,56
1,tablespoon,7046,10
1.333333333,cups,7046,40
0.25,cup,7046,68
4,NULL,7048,4
1.5,cups,7048,2
2,teaspoons,7048,12
1,cup,7048,10
1.5,teaspoons,7048,18
0.75,teaspoon,7048,21
1,can,7048,73
2,cups,7048,82
3,cups,7048,6
1,teaspoon,7048,3
1.5,teaspoons,7048,19
1.5,teaspoons,7048,7
1,package,7049,83
0.25,cup,7049,2
1,NULL,7049,27
1.75,cups,7049,6
1.5,cups,7049,2
1,teaspoon,7049,19
1,teaspoon,7049,18
0.5,teaspoon,7049,3
0.25,teaspoon,7049,21
1,cup,7049,84
0.5,cup,7049,5
1,NULL,7049,27
0.333333333,cup,7049,40
2,cups,7050,29
1,cup,7050,5
2,teaspoons,7050,3
1,cup,7050,2
2,packages,7050,0
0.5,cup,7050,1
8.5,cups,7050,6
1,tablespoon,7050,63
0.5,cup,7050,85
0.5,cup,7050,86
1,cup,7050,87
1,NULL,7050,88
1.333333333,cups,7051,40
1.5,tablespoons,7051,79
1,tablespoon,7051,56
1,tablespoon,7051,68
3,tablespoons,7051,37
1,teaspoon,7051,2
1,teaspoon,7051,3
0.5,cup,7051,57
2,cups,7051,35
1,cup,7051,34
2.75,teaspoons,7051,0
1.25,cups,7052,40
3,cups,7052,34
2,tablespoons,7052,68
1.5,tablespoons,7052,79
1.5,teaspoons,7052,3
0.5,cup,7052,69
2,tablespoons,7052,37
1,tablespoon,7052,0
3.5,cups,7053,6
2,cups,7053,89
0.666666667,cup,7053,2
1,can,7053,84
1,cup,7053,10
0.666666667,cup,7053,90
2,teaspoons,7053,19
1,teaspoon,7053,3
1,teaspoon,7053,21
1.5,teaspoons,7053,18
0.666666667,cup,7053,91
1,cup,7053,25
1,can,7054,92
2.75,cups,7054,93
0.333333333,cup,7054,2
1,can or bottle,7054,94
0.875,cup,7055,40
0.75,teaspoon,7055,74
1.5,cups,7055,34
0.5,cup,7055,57
0.25,cup,7055,95
1,tablespoon,7055,37
1.5,tablespoons,7055,2
1,teaspoon,7055,3
1,teaspoon,7055,76
1,teaspoon,7055,96
2,tablespoons,7055,53
1,teaspoon,7055,0
0.875,cup,7056,94
1,teaspoon,7056,97
0.25,teaspoon,7056,98
0.25,teaspoon,7056,99
1,tablespoon,7056,100
2.25,cups,7056,34
0.125,teaspoon,7056,101
1,tablespoon,7056,96
1,teaspoon,7056,102
0.25,teaspoon,7056,45
0.5,teaspoon,7056,3
2,teaspoons,7056,0
1.125,cups,7058,40
3,cups,7058,35
1.5,teaspoons,7058,3
0.333333333,cup,7058,68
1,tablespoon,7058,79
1.5,tablespoons,7058,28
