Recipe Name,Recipe Photo,Prepare Time,Cook Time,Total Time,RecipeID,Servings
Golden Crescent Rolls Recipe ,https://images.media-allrecipes.com/userphotos/560x315/4465807.jpg,25,15,190,7000,20
Poppy Seed Bread with Glaze Recipe ,https://images.media-allrecipes.com/userphotos/560x315/34726.jpg,15,60,80,7001,24
Applesauce Bread I Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1024884.jpg,10,80,90,7003,24
Apple Raisin Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/21563.jpg,15,60,75,7006,12
Buttermilk Oatmeal Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1149697.jpg,10,60,100,7007,12
Kolaches II Recipe ,https://images.media-allrecipes.com/userphotos/250x250/943400.jpg,30,20,125,7008,36
Whole Wheat Bread II Recipe ,https://images.media-allrecipes.com/userphotos/560x315/5504282.jpg,20,35,145,7009,48
Cottage Cheese Bread II Recipe ,https://images.media-allrecipes.com/userphotos/560x315/3129162.jpg,5,180,185,7012,12
Mocha Chocolate Chip Banana Muffins Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1334257.jpg,10,25,35,7013,18
'Ruby''s Special Cornbread Recipe ',https://images.media-allrecipes.com/userphotos/250x250/51489.jpg,10,45,55,7014,8
Maple Muffins Recipe ,https://images.media-allrecipes.com/userphotos/560x315/6097687.jpg,10,20,30,7015,12
French Toast I Recipe ,https://images.media-allrecipes.com/userphotos/560x315/234562.jpg,5,15,20,7016,3
Angel Biscuits II Recipe ,https://images.media-allrecipes.com/userphotos/560x315/45561.jpg,35,10,105,7018,24
Fudgy Chocolate Chip Muffins Recipe ,https://images.media-allrecipes.com/userphotos/560x315/4467940.jpg,10,25,35,7019,12
Pumpernickel Bread II Recipe ,https://images.media-allrecipes.com/userphotos/560x315/798353.jpg,30,60,150,7020,15
Indian Naan II Recipe ,https://images.media-allrecipes.com/userphotos/250x250/96729.jpg,25,20,145,7021,6
Lefse II Recipe ,https://images.media-allrecipes.com/userphotos/560x315/996053.jpg,15,45,60,7022,12
Banana Nut Bread Baked in a Jar Recipe ,https://images.media-allrecipes.com/userphotos/560x315/5110.jpg,10,45,65,7024,24
Light Oat Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/257322.jpg,5,180,185,7025,12
Honey Oatmeal Bread I Recipe ,https://images.media-allrecipes.com/userphotos/250x250/506180.jpg,5,180,185,7026,10
Oatmeal Soda Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/4465760.jpg,10,40,50,7030,12
'Mary Anne''s Moist and Nutty Carrot Loaf Recipe ',https://images.media-allrecipes.com/userphotos/560x315/2014006.jpg,15,45,60,7033,24
Russian Black Bread Recipe ,https://images.media-allrecipes.com/userphotos/250x250/36112.jpg,15,180,195,7034,12
Basic Fruit Bread Recipe Recipe ,https://images.media-allrecipes.com/userphotos/250x250/535516.jpg,10,40,50,7035,10
Angel Biscuit Rolls Recipe ,https://images.media-allrecipes.com/userphotos/250x250/184711.jpg,10,20,30,7037,24
Panettone II Recipe ,https://images.media-allrecipes.com/userphotos/560x315/278215.jpg,5,180,185,7038,10
'J.P.''s Big Daddy Biscuits Recipe ',https://images.media-allrecipes.com/userphotos/560x315/4512167.jpg,30,15,45,7040,6
Bread Machine Challah I Recipe ,https://images.media-allrecipes.com/userphotos/250x250/43320.jpg,5,180,185,7043,12
Oatmeal Molasses Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1081599.jpg,5,180,185,7046,12
Zucchini Pineapple Bread I Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1326500.jpg,20,60,80,7048,24
Pumpkin Swirl Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/835912.jpg,15,70,95,7049,10
Jule Kaka Recipe ,https://images.media-allrecipes.com/userphotos/560x315/290169.jpg,20,40,360,7050,48
'Steve''s Whole Wheat Recipe ',https://images.media-allrecipes.com/userphotos/560x315/1812319.jpg,5,180,185,7051,12
Oatmeal Bread II Recipe ,https://images.media-allrecipes.com/userphotos/250x250/57347.jpg,5,180,185,7052,12
Coconut Pumpkin Nut Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/510657.jpg,10,75,95,7053,20
Dizzy Pineapple Bread Recipe ,https://images.media-allrecipes.com/userphotos/250x250/407035.jpg,5,60,65,7054,12
European Black Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/698.jpg,5,180,185,7055,10
Chili Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1009074.jpg,5,180,185,7056,10
Whole Wheat Honey Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/19436.jpg,5,180,185,7058,12
Carrot Thyme Bread Recipe ,https://images.media-allrecipes.com/userphotos/250x250/246728.jpg,5,180,185,7059,12
Golly Gee Gluten,https://images.media-allrecipes.com/userphotos/560x315/5187091.jpg,10,15,25,7060,3
Amish Cinnamon Bread Recipe ,https://images.media-allrecipes.com/userphotos/250x250/19056.jpg,10,60,70,7064,36
French Herb Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/542031.jpg,30,30,160,7065,12
Easy Rice Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1202095.jpg,20,60,170,7066,12
Lemon Poppy Seed Muffins I Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1618431.jpg,20,20,40,7067,12
Lemon Poppy Seed Muffins II Recipe ,https://images.media-allrecipes.com/userphotos/250x250/90970.jpg,13,17,30,7068,12
Special Banana Bread Recipe ,https://images.media-allrecipes.com/userphotos/250x250/17407.jpg,10,60,70,7069,24
Injera Recipe ,https://images.media-allrecipes.com/userphotos/250x250/651532.jpg,10,10,1460,7070,14
Pita Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/3346005.jpg,30,20,50,7071,8
Raisin Bread II Recipe ,https://images.media-allrecipes.com/userphotos/560x315/59232.jpg,5,180,195,7072,12
Hot Cross Buns II Recipe ,https://images.media-allrecipes.com/userphotos/250x250/207097.jpg,40,20,150,7074,6
Plain and Simple Sourdough Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/649351.jpg,5,180,185,7075,12
Garlic and Herb Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/4557638.jpg,5,180,185,7076,12
'Ron''s Fruit Bread Recipe ',https://images.media-allrecipes.com/userphotos/250x250/284886.jpg,5,180,185,7077,12
'Ron''s Bread Machine White Recipe ',https://images.media-allrecipes.com/userphotos/250x250/910644.jpg,5,180,185,7078,15
Portuguese Sweet Bread I Recipe ,https://images.media-allrecipes.com/userphotos/560x315/2485663.jpg,5,180,185,7079,12
Pizza Crust I Recipe ,https://images.media-allrecipes.com/userphotos/250x250/16574.jpg,10,20,160,7080,15
Tomato Basil Sherry Bread Recipe ,https://images.media-allrecipes.com/userphotos/250x250/16277.jpg,5,180,185,7081,12
"Onion, Garlic, Cheese Bread Recipe ",https://images.media-allrecipes.com/userphotos/560x315/964906.jpg,5,180,185,7082,12
Irish Soda Bread III Recipe ,https://images.media-allrecipes.com/userphotos/560x315/4464983.jpg,5,180,185,7083,15
The All,https://images.media-allrecipes.com/images/79591.png,5,180,185,7084,12
Sourdough Wheat Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1454058.jpg,5,180,185,7085,12
Basic British Scones Recipe ,https://images.media-allrecipes.com/userphotos/250x250/661754.jpg,15,10,25,7086,12
Yeast,https://images.media-allrecipes.com/userphotos/560x315/1263480.jpg,5,45,50,7087,12
Bread Bowls II Recipe ,https://images.media-allrecipes.com/userphotos/250x250/62348.jpg,10,20,800,7088,4
Bread Sticks Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1061167.jpg,15,12,57,7089,12
Banana Macadamia Nut Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/3478894.jpg,5,180,185,7090,12
Cinnamon Bread II Recipe ,https://images.media-allrecipes.com/userphotos/250x250/401424.jpg,5,180,185,7091,12
Homemade Wonderful Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/27759.jpg,10,180,205,7092,15
Spudnuts Recipe ,https://images.media-allrecipes.com/userphotos/560x315/2082932.jpg,20,20,100,7093,80
Irresistible Irish Soda Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1111853.jpg,15,70,85,7095,12
Christmas Stollen II Recipe ,https://images.media-allrecipes.com/userphotos/250x250/523523.jpg,NULL,NULL,NULL,7098,20
Pizza Crust II Recipe ,https://images.media-allrecipes.com/userphotos/560x315/3957487.jpg,NULL,NULL,NULL,7099,60
Pistachio Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/3799693.jpg,NULL,NULL,NULL,7101,24
Grill Dough Recipe ,https://images.media-allrecipes.com/userphotos/560x315/102091.jpg,NULL,NULL,NULL,7102,12
German Rye Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/3306958.jpg,NULL,NULL,NULL,7103,24
Spelt Bread I Recipe ,https://images.media-allrecipes.com/userphotos/560x315/677578.jpg,NULL,NULL,NULL,7104,24
Essene Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1009396.jpg,NULL,NULL,NULL,7106,12
Apple Bran Cheddar Muffins Recipe ,https://images.media-allrecipes.com/images/79591.png,15,20,35,7108,12
Quick and Easy Monkey Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1909168.jpg,10,30,40,7110,12
Spiced Apple Muffins Recipe ,https://images.media-allrecipes.com/userphotos/250x250/194243.jpg,NULL,NULL,NULL,7112,12
Banana Chip Muffins II Recipe ,https://images.media-allrecipes.com/userphotos/560x315/2884.jpg,NULL,NULL,NULL,7113,12
Mocha Muffins Recipe ,https://images.media-allrecipes.com/userphotos/250x250/74887.jpg,10,25,35,7114,12
