,Recipe Name,Prepare Time,Cook Time,Total Time,RecipeID
0,Golden Crescent Rolls Recipe ,25,15,190,7000
1,Poppy Seed Bread with Glaze Recipe ,15,60,80,7001
2,Applesauce Bread I Recipe ,10,80,90,7003
3,Apple Raisin Bread Recipe ,15,60,75,7006
4,Buttermilk Oatmeal Bread Recipe ,10,60,100,7007
5,Kolaches II Recipe ,30,20,125,7008
6,Whole Wheat Bread II Recipe ,20,35,145,7009
7,Cottage Cheese Bread II Recipe ,5,180,185,7012
8,Mocha Chocolate Chip Banana Muffins Recipe ,10,25,35,7013
9,'Ruby''s Special Cornbread Recipe ',10,45,55,7014
10,Maple Muffins Recipe ,10,20,30,7015
11,French Toast I Recipe ,5,15,20,7016
12,Angel Biscuits II Recipe ,35,10,105,7018
13,Fudgy Chocolate Chip Muffins Recipe ,10,25,35,7019
14,Pumpernickel Bread II Recipe ,30,60,150,7020
15,Indian Naan II Recipe ,25,20,145,7021
16,Lefse II Recipe ,15,45,60,7022
17,Banana Nut Bread Baked in a Jar Recipe ,10,45,65,7024
18,Light Oat Bread Recipe ,5,180,185,7025
19,Honey Oatmeal Bread I Recipe ,5,180,185,7026
20,Oatmeal Soda Bread Recipe ,10,40,50,7030
21,'Mary Anne''s Moist and Nutty Carrot Loaf Recipe ',15,45,60,7033
22,Russian Black Bread Recipe ,15,180,195,7034
23,Basic Fruit Bread Recipe Recipe ,10,40,50,7035
24,Angel Biscuit Rolls Recipe ,10,20,30,7037
25,Panettone II Recipe ,5,180,185,7038
26,'J.P.''s Big Daddy Biscuits Recipe ',30,15,45,7040
27,Bread Machine Challah I Recipe ,5,180,185,7043
28,Oatmeal Molasses Bread Recipe ,5,180,185,7046
29,Zucchini Pineapple Bread I Recipe ,20,60,80,7048
30,Pumpkin Swirl Bread Recipe ,15,70,95,7049
31,Jule Kaka Recipe ,20,40,360,7050
32,'Steve''s Whole Wheat Recipe ',5,180,185,7051
33,Oatmeal Bread II Recipe ,5,180,185,7052
34,Coconut Pumpkin Nut Bread Recipe ,10,75,95,7053
35,Dizzy Pineapple Bread Recipe ,5,60,65,7054
36,European Black Bread Recipe ,5,180,185,7055
37,Chili Bread Recipe ,5,180,185,7056
38,Whole Wheat Honey Bread Recipe ,5,180,185,7058
39,Carrot Thyme Bread Recipe ,5,180,185,7059
40,Golly Gee Gluten,10,15,25,7060
41,Amish Cinnamon Bread Recipe ,10,60,70,7064
42,French Herb Bread Recipe ,30,30,160,7065
43,Easy Rice Bread Recipe ,20,60,170,7066
44,Lemon Poppy Seed Muffins I Recipe ,20,20,40,7067
45,Lemon Poppy Seed Muffins II Recipe ,13,17,30,7068
46,Special Banana Bread Recipe ,10,60,70,7069
47,Injera Recipe ,10,10,1460,7070
48,Pita Bread Recipe ,30,20,50,7071
49,Raisin Bread II Recipe ,5,180,195,7072
50,Hot Cross Buns II Recipe ,40,20,150,7074
51,Plain and Simple Sourdough Bread Recipe ,5,180,185,7075
52,Garlic and Herb Bread Recipe ,5,180,185,7076
53,'Ron''s Fruit Bread Recipe ',5,180,185,7077
54,'Ron''s Bread Machine White Recipe ',5,180,185,7078
55,Portuguese Sweet Bread I Recipe ,5,180,185,7079
56,Pizza Crust I Recipe ,10,20,160,7080
57,Tomato Basil Sherry Bread Recipe ,5,180,185,7081
58,"Onion, Garlic, Cheese Bread Recipe ",5,180,185,7082
59,Irish Soda Bread III Recipe ,5,180,185,7083
60,The All,5,180,185,7084
61,Sourdough Wheat Bread Recipe ,5,180,185,7085
62,Basic British Scones Recipe ,15,10,25,7086
63,Yeast,5,45,50,7087
64,Bread Bowls II Recipe ,10,20,800,7088
65,Bread Sticks Recipe ,15,12,57,7089
66,Banana Macadamia Nut Bread Recipe ,5,180,185,7090
67,Cinnamon Bread II Recipe ,5,180,185,7091
68,Homemade Wonderful Bread Recipe ,10,180,205,7092
69,Spudnuts Recipe ,20,20,100,7093
70,Irresistible Irish Soda Bread Recipe ,15,70,85,7095
71,Christmas Stollen II Recipe ,NULL,NULL,NULL,7098
72,Pizza Crust II Recipe ,NULL,NULL,NULL,7099
73,Pistachio Bread Recipe ,NULL,NULL,NULL,7101
74,Grill Dough Recipe ,NULL,NULL,NULL,7102
75,German Rye Bread Recipe ,NULL,NULL,NULL,7103
76,Spelt Bread I Recipe ,NULL,NULL,NULL,7104
77,Essene Bread Recipe ,NULL,NULL,NULL,7106
78,Apple Bran Cheddar Muffins Recipe ,15,20,35,7108
79,Quick and Easy Monkey Bread Recipe ,10,30,40,7110
80,Spiced Apple Muffins Recipe ,NULL,NULL,NULL,7112
81,Banana Chip Muffins II Recipe ,NULL,NULL,NULL,7113
82,Mocha Muffins Recipe ,10,25,35,7114
83,Banana Bread ,15,50,75,7116
84,Dark Rye Bread Recipe ,NULL,NULL,NULL,7117
85,Mediterranean Black Olive Bread Recipe ,NULL,NULL,NULL,7119
86,Italian Herb Bread II Recipe ,NULL,NULL,NULL,7120
87,Batter White Bread Recipe ,25,45,160,7121
88,Authentic Mexican Tortillas Recipe ,30,25,55,7122
89,Johnnycakes Recipe ,NULL,NULL,NULL,7123
90,'Julia''s Hot Cross Buns Recipe ',NULL,NULL,NULL,7124
91,High Flavor Bran Bread Recipe ,NULL,NULL,NULL,7127
92,Oat Bran Bread Recipe ,NULL,NULL,NULL,7129
93,Oatmeal Bread III Recipe ,NULL,NULL,NULL,7130
94,Blueberry Bread II Recipe ,NULL,NULL,NULL,7131
95,Pear,NULL,NULL,NULL,7133
96,Basic Sourdough Bread Recipe ,NULL,NULL,NULL,7134
97,Bread Pudding with Lemon Sauce I Recipe ,NULL,NULL,NULL,7135
98,Fondue Bread Recipe ,NULL,NULL,NULL,7136
99,Southern Butter Rolls Recipe ,NULL,NULL,NULL,7138
100,Banana Nut Bread II Recipe ,NULL,NULL,NULL,7141
101,Italian Cheese Bread Recipe ,NULL,NULL,NULL,7142
102,Nut Rolls Recipe ,NULL,NULL,NULL,7143
103,Bread Machine Spelt Bread Recipe ,NULL,NULL,NULL,7144
104,Sausage Bread Recipe ,NULL,NULL,NULL,7145
105,Cheddar Bay Biscuits Recipe ,NULL,NULL,NULL,7146
106,Tarradls (Italian Pepper Rings) Recipe ,NULL,NULL,NULL,7147
107,Sticky Buns II Recipe ,NULL,NULL,NULL,7148
108,French Brioche Recipe ,15,20,155,7149
109,Golden Cake Batter Bread Recipe ,NULL,NULL,NULL,7150
110,Blueberry Orange Bread Recipe ,NULL,NULL,NULL,7151
111,Honey and Flaxseed Bread Recipe ,NULL,NULL,NULL,7153
112,Whole Wheat Banana Nut Bread Recipe ,15,55,70,7155
113,San Francisco Sourdough Bread Recipe ,NULL,NULL,NULL,7156
114,Strawnana Bread Recipe ,NULL,NULL,NULL,7158
115,Herman Sourdough Starter Recipe ,30,NULL,10000,7160
116,Herman Biscuits Recipe ,15,30,120,7161
117,Herman Coffee Cake Recipe ,15,40,55,7162
118,Favorite Banana Blueberry Quick Bread Recipe ,25,50,85,7163
119,Welsh Bread Recipe ,NULL,NULL,NULL,7165
120,Cherry Vanilla Chip Muffins Recipe ,NULL,NULL,NULL,7166
121,Chocolate Zucchini Muffins Recipe ,NULL,NULL,NULL,7167
122,Herman Cinnamon Rolls Recipe ,20,25,90,7170
123,Herman Dinner Rolls Recipe ,15,20,75,7171
124,Six Week Bran Muffins Recipe ,NULL,NULL,NULL,7172
125,'Schlotsky''s Bread Recipe ',NULL,NULL,NULL,7173
126,Navajo Fry Bread I Recipe ,NULL,NULL,NULL,7174
127,Banana Chai Bread Recipe ,NULL,NULL,NULL,7175
128,"Soft, Moist and Gooey Cinnamon Buns Recipe ",15,20,215,7176
129,Bread Pudding II Recipe ,30,45,75,7177
130,Bread Machine Bagels Recipe ,30,205,235,7178
131,Beignets Recipe ,30,30,180,7179
132,Sourdough Pancakes Recipe ,NULL,NULL,NULL,7180
133,Old,NULL,NULL,NULL,7182
134,Norwegian Flat Bread Recipe ,NULL,NULL,NULL,7183
135,Easy Biscuit Mixture Recipe ,NULL,NULL,NULL,7184
136,Gluten,NULL,NULL,NULL,7185
137,Coconut Muffins Recipe ,NULL,NULL,NULL,7187
138,Zucchini Pineapple Bread II Recipe ,30,60,90,7188
139,Pizza Crust for Bread Machine Recipe ,NULL,NULL,NULL,7189
140,Spinach Bread Recipe ,NULL,NULL,NULL,7190
141,'Jo Jo''s Favorite Banana Muffins Recipe ',NULL,NULL,NULL,7191
142,Real Southern Cornbread Recipe ,10,50,60,7192
143,Herb Biscuits Recipe ,10,12,22,7193
144,Zucchini Bread V Recipe ,NULL,NULL,NULL,7195
145,Broccoli and Four Cheese Calzones Recipe ,40,30,180,7197
146,"Broccoli, Pepperoni and Three Cheese Calzones Recipe ",NULL,NULL,NULL,7198
147,Prosciutto Filling for Calzones Recipe ,NULL,NULL,NULL,7199
148,Banana Nut and Ginger Bread Recipe ,25,60,85,7200
149,Lemon Poppy Seed Amish Friendship Bread Recipe ,NULL,NULL,NULL,7201
150,Crunchy Honey Wheat Bread Recipe ,NULL,NULL,NULL,7203
151,Paximade Recipe ,NULL,NULL,NULL,7204
152,Southern Biscuits with Mayonnaise Recipe ,15,20,45,7206
153,'Nana''s Fastnachts Recipe ',NULL,NULL,NULL,7208
154,Kalamata Olive and Garlic Bread Recipe ,30,30,120,7209
155,Broccoli Cornbread Recipe ,10,30,40,7210
156,Deluxe Waffles Recipe ,NULL,NULL,NULL,7212
157,Pear Bread I Recipe ,NULL,NULL,NULL,7214
158,Pumpkin Yeast Bread Recipe ,NULL,NULL,NULL,7215
159,Sweet Corn Cake Recipe ,15,60,75,7216
160,Pepperoni Pizza Bread Recipe ,NULL,NULL,NULL,7217
161,Rye Starter Recipe ,NULL,NULL,NULL,7218
162,Muesli,NULL,NULL,NULL,7220
163,Orange Spice Muffins Recipe ,10,20,30,7221
164,Double Quick Dinner Rolls Recipe ,NULL,NULL,NULL,7222
165,Banana Chocolate Chip Muffins Recipe ,NULL,NULL,NULL,7223
166,Pan de Muertos (Mexican Bread of the Dead) Recipe ,NULL,NULL,NULL,7224
167,Cracked Wheat Sourdough Bread Recipe ,NULL,NULL,NULL,7225
168,Sourdough Buckwheat Pancakes Recipe ,20,20,40,7226
169,Chocolate Chip Sourdough Muffins Recipe ,NULL,NULL,NULL,7227
170,Delightful Apple Spice Muffins Recipe ,NULL,NULL,NULL,7228
171,Pumpkin Chip Bread Recipe ,NULL,NULL,NULL,7230
172,'Granny''s Corn Flour Tortillas Recipe ',NULL,NULL,NULL,7231
173,Corn Yeast Rolls Recipe ,NULL,NULL,NULL,7233
174,'Grandma Emma''s Spice Loaf Recipe ',NULL,NULL,NULL,7234
175,Portuguese Sweet Bread II Recipe ,NULL,NULL,NULL,7235
176,Challah in a Hurry Recipe ,NULL,NULL,NULL,7236
