,Recipe Name,Prepare Time,Cook Time,Total Time,RecipeID,Servings
0,Golden Crescent Rolls Recipe ,25,15,190,7000,20
1,Poppy Seed Bread with Glaze Recipe ,15,60,80,7001,24
2,Applesauce Bread I Recipe ,10,80,90,7003,24
3,Apple Raisin Bread Recipe ,15,60,75,7006,12
4,Buttermilk Oatmeal Bread Recipe ,10,60,100,7007,12
5,Kolaches II Recipe ,30,20,125,7008,36
6,Whole Wheat Bread II Recipe ,20,35,145,7009,48
7,Cottage Cheese Bread II Recipe ,5,180,185,7012,12
8,Mocha Chocolate Chip Banana Muffins Recipe ,10,25,35,7013,18
9,'Ruby''s Special Cornbread Recipe ',10,45,55,7014,8
10,Maple Muffins Recipe ,10,20,30,7015,12
11,French Toast I Recipe ,5,15,20,7016,3
12,Angel Biscuits II Recipe ,35,10,105,7018,24
13,Fudgy Chocolate Chip Muffins Recipe ,10,25,35,7019,12
14,Pumpernickel Bread II Recipe ,30,60,150,7020,15
15,Indian Naan II Recipe ,25,20,145,7021,6
16,Lefse II Recipe ,15,45,60,7022,12
17,Banana Nut Bread Baked in a Jar Recipe ,10,45,65,7024,24
18,Light Oat Bread Recipe ,5,180,185,7025,12
19,Honey Oatmeal Bread I Recipe ,5,180,185,7026,10
20,Oatmeal Soda Bread Recipe ,10,40,50,7030,12
21,'Mary Anne''s Moist and Nutty Carrot Loaf Recipe ',15,45,60,7033,24
22,Russian Black Bread Recipe ,15,180,195,7034,12
23,Basic Fruit Bread Recipe Recipe ,10,40,50,7035,10
24,Angel Biscuit Rolls Recipe ,10,20,30,7037,24
25,Panettone II Recipe ,5,180,185,7038,10
26,'J.P.''s Big Daddy Biscuits Recipe ',30,15,45,7040,6
27,Bread Machine Challah I Recipe ,5,180,185,7043,12
28,Oatmeal Molasses Bread Recipe ,5,180,185,7046,12
29,Zucchini Pineapple Bread I Recipe ,20,60,80,7048,24
30,Pumpkin Swirl Bread Recipe ,15,70,95,7049,10
31,Jule Kaka Recipe ,20,40,360,7050,48
32,'Steve''s Whole Wheat Recipe ',5,180,185,7051,12
33,Oatmeal Bread II Recipe ,5,180,185,7052,12
34,Coconut Pumpkin Nut Bread Recipe ,10,75,95,7053,20
35,Dizzy Pineapple Bread Recipe ,5,60,65,7054,12
36,European Black Bread Recipe ,5,180,185,7055,10
37,Chili Bread Recipe ,5,180,185,7056,10
38,Whole Wheat Honey Bread Recipe ,5,180,185,7058,12
39,Carrot Thyme Bread Recipe ,5,180,185,7059,12
40,Golly Gee Gluten,10,15,25,7060,3
41,Amish Cinnamon Bread Recipe ,10,60,70,7064,36
42,French Herb Bread Recipe ,30,30,160,7065,12
43,Easy Rice Bread Recipe ,20,60,170,7066,12
44,Lemon Poppy Seed Muffins I Recipe ,20,20,40,7067,12
45,Lemon Poppy Seed Muffins II Recipe ,13,17,30,7068,12
46,Special Banana Bread Recipe ,10,60,70,7069,24
47,Injera Recipe ,10,10,1460,7070,14
48,Pita Bread Recipe ,30,20,50,7071,8
49,Raisin Bread II Recipe ,5,180,195,7072,12
50,Hot Cross Buns II Recipe ,40,20,150,7074,6
51,Plain and Simple Sourdough Bread Recipe ,5,180,185,7075,12
52,Garlic and Herb Bread Recipe ,5,180,185,7076,12
53,'Ron''s Fruit Bread Recipe ',5,180,185,7077,12
54,'Ron''s Bread Machine White Recipe ',5,180,185,7078,15
55,Portuguese Sweet Bread I Recipe ,5,180,185,7079,12
56,Pizza Crust I Recipe ,10,20,160,7080,15
57,Tomato Basil Sherry Bread Recipe ,5,180,185,7081,12
58,"Onion, Garlic, Cheese Bread Recipe ",5,180,185,7082,12
59,Irish Soda Bread III Recipe ,5,180,185,7083,15
60,The All,5,180,185,7084,12
61,Sourdough Wheat Bread Recipe ,5,180,185,7085,12
62,Basic British Scones Recipe ,15,10,25,7086,12
63,Yeast,5,45,50,7087,12
64,Bread Bowls II Recipe ,10,20,800,7088,4
65,Bread Sticks Recipe ,15,12,57,7089,12
66,Banana Macadamia Nut Bread Recipe ,5,180,185,7090,12
67,Cinnamon Bread II Recipe ,5,180,185,7091,12
68,Homemade Wonderful Bread Recipe ,10,180,205,7092,15
69,Spudnuts Recipe ,20,20,100,7093,80
70,Irresistible Irish Soda Bread Recipe ,15,70,85,7095,12
71,Christmas Stollen II Recipe ,NULL,NULL,NULL,7098,20
72,Pizza Crust II Recipe ,NULL,NULL,NULL,7099,60
73,Pistachio Bread Recipe ,NULL,NULL,NULL,7101,24
74,Grill Dough Recipe ,NULL,NULL,NULL,7102,12
75,German Rye Bread Recipe ,NULL,NULL,NULL,7103,24
76,Spelt Bread I Recipe ,NULL,NULL,NULL,7104,24
77,Essene Bread Recipe ,NULL,NULL,NULL,7106,12
78,Apple Bran Cheddar Muffins Recipe ,15,20,35,7108,12
79,Quick and Easy Monkey Bread Recipe ,10,30,40,7110,12
80,Spiced Apple Muffins Recipe ,NULL,NULL,NULL,7112,12
81,Banana Chip Muffins II Recipe ,NULL,NULL,NULL,7113,12
82,Mocha Muffins Recipe ,10,25,35,7114,12
83,Banana Bread ,15,50,75,7116,10
84,Dark Rye Bread Recipe ,NULL,NULL,NULL,7117,12
85,Mediterranean Black Olive Bread Recipe ,NULL,NULL,NULL,7119,15
86,Italian Herb Bread II Recipe ,NULL,NULL,NULL,7120,10
87,Batter White Bread Recipe ,25,45,160,7121,12
88,Authentic Mexican Tortillas Recipe ,30,25,55,7122,12
89,Johnnycakes Recipe ,NULL,NULL,NULL,7123,10
90,'Julia''s Hot Cross Buns Recipe ',NULL,NULL,NULL,7124,15
91,High Flavor Bran Bread Recipe ,NULL,NULL,NULL,7127,15
